FeedRate,SpindleSpeed,DepthofCut,ratio_cut,Cut_X,Cut_Y,Cut_Z,Cut_XY,Cut_XYZ,Duration,cutdirect,cutmethod
125.9169312,1503.195767,1,1.107173259,39.455,0,0,39.455,39.455,18.89,1,2
126.8306667,1502.586667,1,1.065327869,14.545,6.324,0,15.8603279,15.8603279,7.49,3,2
69.76119403,1499.79602,1,1.455609838,0,5,0,5,5,4.01,2,2
75.91983122,1502.734177,1,1.157380349,11.057,4.807,0,12.05672003,12.05672003,9.47,3,2
75.96092545,1503.061697,1,1.168559545,0,24.839,0,24.839,24.839,19.44,2,2
75.96122449,1502.806122,1,1.168606593,0,24.838,0,24.838,24.838,19.59,2,2
74.47641509,1501.865566,1,0.619061494,6.763,6.763,0,10.62329556,10.62329556,8.47,3,2
75.98030578,1503.096916,1,1.058038125,49.025,0,0,49.025,49.025,38.58,1,2
73.96369922,1502.681936,1,1.285473077,6.976,12.577,0,14.3821245,14.3821245,11.56,3,2
75.97672994,1503.27128,1,1.100355829,0,41.423,0,41.423,41.423,32.65,2,2
75.92995392,1501.820276,1,0.653393379,8.763,8.763,0,13.76488821,13.76488821,10.84,3,2
75.50448718,1503.288462,1,1.097054689,39.455,0,0,39.455,39.455,31.19,1,2
74.15793589,1502.518374,1,1.039337585,14.545,6.324,0,15.8603279,15.8603279,12.78,3,2
91.68092105,1500.052632,1,1.455609838,0,5,0,5,5,3.03,2,2
101.8575419,1503.162011,1,1.157380349,11.057,4.807,0,12.05672003,12.05672003,7.15,3,2
101.3082606,1503.244459,1,1.168559545,0,24.839,0,24.839,24.839,14.88,2,2
99.9437751,1502.995984,1,1.168606593,0,24.838,0,24.838,24.838,14.93,2,2
100.0624025,1503.74259,1,0.619061494,6.763,6.763,0,10.62329556,10.62329556,6.4,3,2
101.8056986,1502.786474,1,1.058038125,49.025,0,0,49.025,49.025,29.12,1,2
101.8776978,1504.563549,1,1.285473077,6.976,12.577,0,14.3821245,14.3821245,8.33,3,2
101.9586877,1503.293236,1,1.100355829,0,41.423,0,41.423,41.423,24.68,2,2
101.6009558,1501.497013,1,0.653393379,8.763,8.763,0,13.76488821,13.76488821,8.36,3,2
101.9565403,1502.804857,1,1.097054689,39.455,0,0,39.455,39.455,23.46,1,2
101.9619978,1502.268187,1,1.039337585,14.545,6.324,0,15.8603279,15.8603279,9.2,3,2
120.8473154,1503.563758,1,0.717798926,7.598,4.807,0,8.990931709,8.990931709,5.95,3,2
126.8931876,1503.095879,1,1.168559545,0,24.839,0,24.839,24.839,11.88,2,2
126.0101437,1503.522401,1,1.168606593,0,24.838,0,24.838,24.838,11.82,2,2
126.8275154,1502.162218,1,0.619061494,6.763,6.763,0,10.62329556,10.62329556,4.86,3,2
126.9454233,1503.370434,1,1.058038125,49.025,0,0,49.025,49.025,23.26,1,2
126.8107303,1503.530551,1,1.285473077,6.976,12.577,0,14.3821245,14.3821245,6.7,3,2
126.9355003,1502.819198,1,1.100355829,0,41.423,0,41.423,41.423,19.68,2,2
126.8095952,1503.047976,1,0.653393379,8.763,8.763,0,13.76488821,13.76488821,6.66,3,2
123.2251447,1503.697528,1,1.107173259,39.455,0,0,39.455,39.455,19,1,2
126.8306667,1501.4,1,1.065327869,14.545,6.324,0,15.8603279,15.8603279,7.49,3,2
72.78581173,1503.188267,1,1.830075246,0,9.141,0,9.141,9.141,7.32,2,3
75.92930233,1500.413953,1,0.733405636,0,13.52,0,13.52,13.52,10.74,2,3
75.87438017,1502.504132,1,0.402144262,4.762,4.763,0,7.480703009,7.480703009,6.04,3,3
73.42231947,1503.956236,1,1.641971827,11.385,0,0,11.385,11.385,9.13,1,3
74.19601838,1499.467075,1,0.37287405,16.147,0,0,16.147,16.147,13.05,1,3
101.8125,1502.878676,1,1.830075246,0,9.141,0,9.141,9.141,5.43,2,3
98.19494585,1500.395909,1,0.973300837,0,13.52,0,13.52,13.52,8.3,2,3
101.7718121,1502.310962,1,1.739654518,4.762,4.763,0,7.480703009,7.480703009,4.46,3,3
99.58479532,1504.02924,1,1.641971827,11.385,0,0,11.385,11.385,6.83,1,3
101.8944099,1499.621118,1,0.712879447,16.147,0,0,16.147,16.147,9.65,1,3
101.8114603,1499,1,0.505070942,0,9.142,0,9.142,9.142,5.4,2,3
126.1177778,1500.333333,1,1.830075246,0,9.141,0,9.141,9.141,4.49,2,3
121.4185693,1499.456621,1,0.973300837,0,13.52,0,13.52,13.52,6.56,2,3
109.357513,1503.637306,1,1.739654518,4.762,4.763,0,7.480703009,7.480703009,3.85,3,3
126.7665441,1500.672794,1,1.641971827,11.385,0,0,11.385,11.385,5.43,1,3
126.8320106,1499.833333,1,0.712879447,16.147,0,0,16.147,16.147,7.55,1,3
118.289823,1499,1,0.505070942,0,9.142,0,9.142,9.142,4.51,2,3
75.89603283,1503.213406,1,1.830075246,0,9.141,0,9.141,9.141,7.3,2,3
73.91590494,1500.096892,1,0.973300837,0,13.52,0,13.52,13.52,10.93,2,3
72.98228663,1502.333333,1,1.739654518,4.762,4.763,0,7.480703009,7.480703009,6.2,3,3
75.91639164,1502.30033,1,1.641971827,11.385,0,0,11.385,11.385,9.08,1,3
74.12490362,1499.686199,1,0.712879447,16.147,0,0,16.147,16.147,12.96,1,3
75.45592287,1499,1,0.505070942,0,9.142,0,9.142,9.142,7.25,2,3
101.8135283,1501.833638,1,1.830075246,0,9.141,0,9.141,9.141,5.46,2,3
98.73646209,1499.697954,1,0.973300837,0,13.52,0,13.52,13.52,8.3,2,3
101.7758242,1501.615385,1,1.739654518,4.762,4.763,0,7.480703009,7.480703009,4.54,3,3
97.17730496,1501.58156,1,1.641971827,11.385,0,0,11.385,11.385,7.04,1,3
101.9269841,1499.645503,1,0.712879447,16.147,0,0,16.147,16.147,9.44,1,3
101.812844,1499,1,0.505070942,0,9.142,0,9.142,9.142,5.44,2,3
126.6968974,1501.887828,1,1.830075246,0,9.141,0,9.141,9.141,4.18,2,3
126.7987322,1499.950872,1,0.973300837,0,13.52,0,13.52,13.52,6.3,2,3
126.6510989,1502.324176,1,1.739654518,4.762,4.763,0,7.480703009,7.480703009,3.63,3,3
124.74,1500.072727,1,1.641971827,11.385,0,0,11.385,11.385,5.49,1,3
122.1371281,1499.789133,1,0.712879447,16.147,0,0,16.147,16.147,7.72,1,3
126.7772512,1499,1,0.505070942,0,9.142,0,9.142,9.142,4.21,2,3
75.7675841,1502.669725,1,2.317257538,22.172,11.276,0,16.45566232,16.45566232,3.26,3,3
75.9375,1500.998355,1,1.445244036,15.475,0,0,15.475,15.475,12.15,1,3
75.81947743,1502.515439,1,2.525224039,0,5.237,0,5.237,5.237,4.2,2,3
75.90547264,1503.104478,1,1.255612437,10.238,0,0,10.238,10.238,8.03,1,3
70.86404834,1499,1,1.911011717,3.703,1.534,0,4.113017924,4.113017924,3.3,3,3
109.7472924,1502.742479,1,1.445244036,15.475,0,0,15.475,15.475,8.3,1,3
107.6532399,1502.117338,1,1.400440761,10.238,0,0,10.238,10.238,5.7,1,3
147.6433225,1504.09772,1,1.442482085,15.475,0,0,15.475,15.475,6.13,1,3
151.6346154,1503.254808,1,1.41112962,10.238,0,0,10.238,10.238,4.15,1,3
75.7675841,1500.834862,1,2.792509886,1.534,3.703,0,4.113017924,4.113017924,3.26,3,3
75.9379085,1503.019608,1,1.442482085,15.475,0,0,15.475,15.475,12.23,1,3
72.65848214,1501.053571,1,2.441005521,0,5.475,0,5.475,5.475,4.47,2,3
73.18181818,1502.181818,1,1.41112962,10.238,0,0,10.238,10.238,8.35,1,3
75.77039275,1501.809668,1,1.548609438,3.703,1.534,0,4.113017924,4.113017924,3.3,3,3
109.7163636,1500.127273,1,1.442482085,15.475,0,0,15.475,15.475,8.24,1,3
113.7904412,1504.606618,1,1.41112962,10.238,0,0,10.238,10.238,5.43,1,3
151.7520392,1502.507341,1,1.445244036,15.475,0,0,15.475,15.475,6.12,1,3
142.5721154,1503.254808,1,1.400440761,10.238,0,0,10.238,10.238,4.15,1,3
75.76829268,1501.804878,1,2.792509886,1.534,3.703,0,4.113017924,4.113017924,3.27,3,3
74.15085158,1502.649635,1,1.442482085,15.475,0,0,15.475,15.475,12.32,1,3
75.94471154,1501.860577,1,2.441005521,0,5.475,0,5.475,5.475,4.15,2,3
75.90594059,1503.455446,1,1.41112962,10.238,0,0,10.238,10.238,8.07,1,3
75.76829268,1501.713415,1,1.548609438,3.703,1.534,0,4.113017924,4.113017924,3.27,3,3
75.77039275,1500.812689,1,3.446227976,17.297,32.06,0,16.45566232,16.45566232,3.3,3,3
72.96735187,1501.950423,1,1.726008986,10.238,0,0,10.238,10.238,8.26,1,3
70.89932886,1501.684564,1,2.519290269,0,5.475,0,5.475,5.475,4.46,2,3
74.05284227,1503.371497,1,1.436637091,15.475,0,0,15.475,15.475,12.48,1,3
68.00555556,1499,1,0.29377567,1.534,3.703,0,4.113017924,4.113017924,3.59,3,3
113.7964286,1501.267857,1,1.726008986,10.238,0,0,10.238,10.238,5.59,1,3
113.8614824,1503.094775,1,1.402797631,15.475,0,0,15.475,15.475,8.22,1,3
151.6218905,1501.263682,1,1.726008986,10.238,0,0,10.238,10.238,4.01,1,3
150.3018868,1502.852201,1,1.402797631,15.475,0,0,15.475,15.475,6.35,1,3
75.76615385,1505.307692,1,2.792509886,3.703,1.534,0,4.113017924,4.113017924,3.24,3,3
73.17505995,1500.786571,1,1.726008986,10.238,0,0,10.238,10.238,8.33,1,3
75.82366589,1500.461717,1,2.519290269,0,5.475,0,5.475,5.475,4.3,2,3
75.93765381,1503.40525,1,1.402797631,15.475,0,0,15.475,15.475,12.18,1,3
75.77313433,1502.58209,1,1.436734483,1.534,3.703,0,4.113017924,4.113017924,3.34,3,3
112.8909091,1501.2,1,1.726008986,10.238,0,0,10.238,10.238,5.49,1,3
104.6322581,1504.032258,1,2.519290269,0,5.475,0,5.475,5.475,3.09,2,3
